timestamp_s,reading_value,raw_text,confidence,status,cleaned_value
340.0,4.23,4.23,1.0,OK,4.23
341.0,2.14,2.14,0.684,OK,2.14
342.0,1.14,1.14,0.958,OK,1.14
343.0,0.1,0.10,0.77,OK,1.14
344.0,1.2,1.20,0.969,OK,1.2
345.0,6.6,6.60,0.956,OK,1.505
346.0,1.505,1.505,0.997,OK,1.505
347.0,1.111,1.111,1.0,OK,1.21
348.0,1.21,1.210,0.871,OK,1.21
349.0,,,0.0,LOW_CONFIDENCE,5.005000000000001
350.0,8.8,8.8,0.827,OK,8.8
351.0,9.4,9.4,0.788,OK,8.8
352.0,0.2,0.2,0.721,OK,6.1
353.0,6.1,6.1,0.774,OK,3.1
354.0,3.1,3.1,0.956,OK,3.1
355.0,2.85,2.85,0.828,OK,2.85
356.0,1.11,1.11,1.0,OK,1.11
357.0,0.227,0.227,0.791,OK,0.62
358.0,0.62,0.62,0.96,OK,0.62
359.0,1.104,1.104,0.827,OK,1.004
360.0,1.004,1.004,0.852,OK,1.004
361.0,0.0,0.0,0.991,OK,0.0
362.0,0.0,0,0.788,OK,0.0
363.0,0.71,0.71,0.868,OK,0.71
364.0,7.32,7.32,0.645,OK,3.23
365.0,3.23,3.23,0.957,OK,3.23
366.0,1.14,1.14,0.955,OK,1.14
367.0,1.111,1.111,0.89,OK,1.111
368.0,0.227,0.227,0.982,OK,1.111
369.0,9.246,9.246,0.858,OK,7.322
370.0,7.322,7.322,0.796,OK,7.322
371.0,1.0,1.00,0.995,OK,6.6
372.0,6.6,6.60,0.996,OK,1.478
373.0,1.478,1.478,0.933,OK,5.6
374.0,5.6,5.6,0.85,OK,5.6
375.0,5.6,5.60,0.982,OK,5.6
376.0,4.33,4.33,0.963,OK,5.11
377.0,5.11,5.11,0.882,OK,4.33
378.0,3.98,3.98,0.742,OK,3.98
379.0,2.88,2.88,0.851,OK,2.88
380.0,2.43,2.43,1.0,OK,2.43
381.0,2.15,2.15,1.0,OK,2.15
382.0,1.0,1,0.846,OK,1.757
383.0,1.757,1.757,0.902,OK,1.757
384.0,9.43,9.43,0.791,OK,1.757
385.0,1.45,1.450,0.979,OK,1.45
386.0,1.303,1.303,0.841,OK,1.303
387.0,1.0,1.0,0.997,OK,1.303
388.0,1.4,1.4,0.716,OK,1.4
389.0,9.0,9.0,0.987,OK,6.1
390.0,6.1,6.1,0.842,OK,6.1
391.0,1.0,1.000,0.981,OK,1.06
392.0,1.06,1.060,0.952,OK,1.06
393.0,1.264,1.264,0.977,OK,1.264
394.0,1.48,1.48,0.895,OK,1.48
395.0,1.808,1.808,0.661,OK,1.48
396.0,1.0,1.00,0.917,OK,1.808
397.0,5.0,5.00,0.811,OK,5.0
398.0,5.0,5.000,0.976,OK,5.0
399.0,0.6,0.60,0.897,OK,0.6
400.0,0.01,0.010,0.804,OK,0.6
401.0,5.17,5.170,0.966,OK,4.0
402.0,4.0,4,0.993,OK,5.17
403.0,6.678,6.678,0.902,OK,6.676
404.0,6.676,6.676,0.792,OK,6.676
405.0,0.14,0.14,0.78,OK,5.3
406.0,5.3,5.3,0.844,OK,5.3
407.0,6.006,6.006,0.73,OK,5.3
408.0,0.2,0.200,0.828,OK,5.0
409.0,5.0,5.0,0.928,OK,1.11
410.0,1.11,1.11,0.982,OK,1.46
411.0,1.46,1.46,0.989,OK,1.46
412.0,,,0.0,LOW_CONFIDENCE,1.49
413.0,1.52,1.52,0.915,OK,1.52
414.0,2.25,2.25,0.9,OK,2.25
415.0,4.1,4.1,0.976,OK,2.25
416.0,0.07,0.07,0.858,OK,0.3
417.0,0.3,0.3,0.757,OK,0.3
418.0,6.6,6.6,0.938,OK,5.0
419.0,5.0,5,0.995,OK,5.0
420.0,1.0,1.0,0.986,OK,5.0
421.0,7.0,7.0,0.893,OK,1.0
422.0,0.21,0.21,0.955,OK,2.347
423.0,2.347,2.347,0.777,OK,2.347
424.0,2.358,2.358,0.813,OK,2.358
425.0,6.441,6.441,0.898,OK,6.441
426.0,6.741,6.741,0.856,OK,6.441
427.0,6.341,6.341,0.943,OK,6.341
428.0,2.645,2.645,0.733,OK,6.341
429.0,6.643,6.643,0.788,OK,4.44
430.0,4.44,4.44,0.985,OK,4.44
431.0,2.44,2.44,0.976,OK,4.001
432.0,4.001,4.001,0.892,OK,2.44
433.0,0.706,0.706,0.934,OK,0.706
434.0,0.008,0.008,0.667,OK,0.008
435.0,0.0,0.000,0.981,OK,0.008
436.0,4.0,4.00,0.771,OK,4.0
437.0,6.6,6.60,0.682,OK,6.422
438.0,6.422,6.422,0.838,OK,6.422
439.0,4.42,4.420,0.885,OK,4.43
440.0,4.43,4.430,0.84,OK,4.43
441.0,6.421,6.421,0.755,OK,4.43
442.0,4.42,4.420,0.98,OK,4.42
443.0,2.42,2.42,0.798,OK,2.42
444.0,1.462,1.462,0.71,OK,2.42
445.0,6.621,6.621,0.946,OK,2.46
446.0,2.46,2.46,0.822,OK,2.46
447.0,0.01,0.010,0.861,OK,0.05
448.0,0.05,0.05,0.802,OK,0.05
449.0,3.0,3.00,0.984,OK,0.8
450.0,0.8,0.8,0.746,OK,1.105
451.0,1.105,1.105,0.992,OK,1.105
452.0,2.2,2.20,0.828,OK,1.105
453.0,0.0,0.00,0.87,OK,1.58
454.0,1.58,1.58,0.778,OK,1.58
455.0,7.0,7,1.0,OK,5.02
456.0,5.02,5.020,0.815,OK,6.61
457.0,6.61,6.61,0.916,OK,6.61
458.0,8.261,8.261,0.746,OK,6.61
459.0,4.01,4.01,0.819,OK,6.61
460.0,6.61,6.61,0.872,OK,6.61
461.0,8.801,8.801,0.835,OK,6.61
462.0,3.366,3.366,0.977,OK,3.366
463.0,0.001,0.001,0.922,OK,3.366
464.0,7.14,7.14,0.974,OK,1.006
465.0,1.006,1.006,0.985,OK,1.006
466.0,0.3,0.30,0.733,OK,0.3
467.0,0.001,0.001,0.959,OK,0.3
468.0,3.06,3.06,0.996,OK,2.206
469.0,2.206,2.206,0.898,OK,2.206
470.0,1.06,1.06,0.928,OK,1.6
471.0,1.6,1.6,0.84,OK,1.6
472.0,7.741,7.741,0.824,OK,1.6
473.0,1.2,1.200,0.878,OK,1.2
474.0,1.161,1.161,0.625,OK,1.2
475.0,7.655,7.655,0.901,OK,4.485
476.0,4.485,4.485,0.747,OK,7.655
477.0,8.187,8.187,0.817,OK,4.485
478.0,2.206,2.206,0.921,OK,6.63
479.0,6.63,6.630,0.784,OK,4.156
480.0,4.156,4.156,0.743,OK,4.156
481.0,1.6,1.6,0.967,OK,1.6
482.0,0.0,0.0,0.865,OK,1.01
483.0,1.01,1.010,0.826,OK,1.01
484.0,3.53,3.53,0.726,OK,3.53
485.0,6.53,6.53,0.85,OK,3.53
486.0,0.0,0.00,0.634,OK,2.55
487.0,2.55,2.55,0.848,OK,2.55
488.0,8.06,8.06,0.887,OK,2.55
489.0,0.624,0.624,0.708,OK,4.11
490.0,4.11,4.110,0.832,OK,4.11
491.0,9.6,9.60,0.821,OK,6.111
492.0,6.111,6.111,0.922,OK,6.323
493.0,6.323,6.323,0.687,OK,6.111
494.0,0.14,0.14,0.59,OK,1.33
495.0,1.33,1.33,0.781,OK,0.4
496.0,0.4,0.4,0.659,OK,1.33
497.0,1.333,1.333,0.767,OK,1.333
498.0,2.1,2.1,0.965,OK,2.1
499.0,2.27,2.27,0.755,OK,2.1
500.0,1.1,1.1,0.685,OK,1.1
501.0,0.067,0.067,0.978,OK,0.777
502.0,0.777,0.777,0.774,OK,0.41
503.0,0.41,0.410,0.874,OK,0.41
504.0,0.11,0.11,0.922,OK,0.41
505.0,6.11,6.11,0.905,OK,1.041
506.0,1.041,1.041,0.881,OK,6.11
507.0,6.77,6.77,0.675,OK,1.041
508.0,0.91,0.91,0.934,OK,0.91
509.0,0.3,0.3,0.892,OK,0.31
510.0,0.31,0.31,0.865,OK,0.3
511.0,0.01,0.01,0.972,OK,0.1
512.0,0.1,0.1,0.999,OK,0.1
513.0,5.05,5.05,0.692,OK,1.6
514.0,1.6,1.6,0.951,OK,1.6
515.0,1.6,1.6,0.932,OK,1.6
516.0,1.0,1,1.0,OK,1.2
517.0,1.2,1.2,0.942,OK,1.0
518.0,0.0,0,0.995,OK,1.2
519.0,8.0,8,0.931,OK,7.0
520.0,7.0,7,0.613,OK,7.0
521.0,4.72,4.72,0.657,OK,4.72
522.0,1.51,1.51,0.867,OK,1.51
523.0,1.1,1.1,0.969,OK,1.51
524.0,8.4,8.4,0.999,OK,5.73
525.0,5.73,5.73,0.951,OK,5.73
526.0,1.11,1.110,0.902,OK,5.73
527.0,6.112,6.112,0.989,OK,1.11
528.0,0.18,0.18,0.827,OK,6.112
529.0,7.6,7.60,0.744,OK,2.531
530.0,2.531,2.531,0.712,OK,4.0
531.0,4.0,4.0,0.982,OK,2.531
532.0,2.2,2.20,0.68,OK,4.0
533.0,8.12,8.12,0.924,OK,3.16
534.0,3.16,3.160,0.878,OK,3.16
535.0,0.2,0.20,0.792,OK,0.2
536.0,0.0,0.0,0.974,OK,0.2
537.0,0.66,0.66,0.868,OK,0.66
538.0,1.86,1.86,0.872,OK,0.66
539.0,0.6,0.60,0.965,OK,0.748
540.0,0.748,0.748,0.867,OK,0.748
541.0,8.756,8.756,0.768,OK,0.748
542.0,0.0,0.0,0.768,OK,1.613
543.0,1.613,1.613,0.991,OK,1.03
544.0,1.03,1.03,0.865,OK,1.03
545.0,0.1,0.1,0.893,OK,1.03
546.0,2.282,2.282,0.761,OK,1.506
547.0,1.506,1.506,0.886,OK,2.282
548.0,3.0,3,0.661,OK,1.506
549.0,0.44,0.44,0.749,OK,1.71
550.0,1.71,1.710,0.825,OK,0.44
551.0,0.04,0.04,0.704,OK,1.71
552.0,6.33,6.33,0.912,OK,6.32
553.0,6.32,6.32,0.757,OK,6.32
